Application_ID,Gender,Age,Education,Marital_Status,Employment_Type,Monthly_Income,Loan_Amount,Loan_Term,Credit_Score,Existing_Debt,Approval_Status,Application_Date
APP100000,male,50.0,GRADUATE,SINGLE,Salaried,56871,1900823,12.0,603.0,570221.0,Rejected,2022-12-21
APP100001,MALE,39.0,Not Graduate,Married,Salaried,11176,"1,916,690",48.0,999.0,141511.0,Rejected,2022-05-11
APP100002,FEMALE,53.0,Not Graduate,MARRIED,SALARIED,39869,"512,547",24.0,746.0,679685.0,Approved,2019-08-27
APP100003,,40.0,graduate,Single,Salaried,93181,1918013,72.0,330.0,739322.0,Rejected,2022-01-19
APP100004,MALE,80.0,graduate,Single,SALARIED,85737,2214169,24.0,619.0,233673.0,Approved,2019-12-02
APP100005,Female,43.0,Not Graduate,MARRIED,Salaried,155492,767062,12.0,692.0,3076.0,Approved,2022-07-22
APP100006,FEMALE,77.0,not graduate,Single,Self-Employed,18215,2054331,12.0,393.0,866141.0,Rejected,2020-11-14
APP100007,FEMALE,22.0,not graduate,MARRIED,self-employed,155651,581682,36.0,768.0,522315.0,Approved,2024-08-24
APP100008,FEMALE,,Graduate,married,Salaried,47801,2716157,12.0,781.0,688344.0,Rejected,2020-12-11
APP100009,MALE,55.0,,Married,Self-Employed,91237,1977184,72.0,469.0,92006.0,Approved,2022-08-15
APP100010,male,79.0,Graduate,MARRIED,self-employed,176528,1218092,72.0,531.0,737739.0,Approved,2019-03-11
APP100011,FEMALE,42.0,graduate,married,SELF EMPLOYED,70908,1461486,24.0,629.0,935031.0,Approved,2021-09-19
APP100012,female,29.0,Not Graduate,MARRIED,self-employed,147708,2896193,48.0,504.0,794216.0,Rejected,2021-06-26
APP100013,MALE,39.0,GRADUATE,married,self-employed,9372,2434214,48.0,653.0,880951.0,Rejected,2019-01-06
APP100014,Female,26.0,Not Graduate,married,Self-Employed,,1628209,12.0,381.0,694456.0,Rejected,2021-09-04
APP100015,male,46.0,Not Graduate,married,SALARIED,133595,2875184,72.0,628.0,723499.0,Approved,2018-03-18
,female,61.0,Graduate,Married,Self-Employed,56706,1833134,36.0,678.0,931303.0,Approved,2021-06-08
APP100017,female,44.0,Not Graduate,MARRIED,self-employed,53588,2200925,24.0,557.0,603804.0,Approved,2021-08-26
APP100018,Female,72.0,Graduate,MARRIED,self-employed,179804,1178632,24.0,757.0,138593.0,Approved,2024-10-04
APP100019,male,22.0,Not Graduate,MARRIED,Self-Employed,166396,1117986,24.0,368.0,511963.0,Rejected,2022-11-24
APP100020,MALE,69.0,GRADUATE,married,Salaried,86095,2235467,36.0,763.0,255131.0,Rejected,2018-08-22
APP100021,Male,30.0,not graduate,Single,self-employed,115818,2601477,36.0,532.0,805109.0,Rejected,2019-05-07
APP100022,male,59.0,not graduate,Single,self-employed,183255,835384,12.0,323.0,93676.0,Rejected,2019-12-23
APP100023,,32.0,graduate,MARRIED,,57119,1908145,36.0,605.0,979849.0,Rejected,2019-07-27
APP100024,female,,GRADUATE,Single,SALARIED,60766,1568772,48.0,757.0,403521.0,Rejected,2024-10-27
APP100025,MALE,67.0,Not Graduate,Single,Self-Employed,105505,2755551,24.0,400.0,170630.0,Rejected,2023-07-09
APP100026,male,19.0,GRADUATE,Single,self-employed,147604,2406020,24.0,600.0,655712.0,Approved,2020-06-21
APP100027,Male,30.0,Not Graduate,married,Salaried,64332,831049,24.0,848.0,676199.0,Rejected,2024-12-28
