Application_ID,Gender,Age,Education,Marital_Status,Employment_Type,Monthly_Income,Loan_Amount,Loan_Term,Credit_Score,Existing_Debt,Approval_Status,Application_Date,EMI
APP100000,Male,50.0,Graduate,Single,Salaried,56871.0,1900823.0,12.0,603.0,570221.0,Rejected,2022-12-21,167112.54051220903
APP100001,Male,39.0,Not Graduate,Married,Salaried,11176.0,1916690.0,48.0,570.0,141511.0,Rejected,2022-05-11,48612.210043545725
APP100002,Female,53.0,Not Graduate,Married,Salaried,39869.0,512547.0,24.0,746.0,679685.0,Approved,2019-08-27,23651.443559515144
APP100003,Male,40.0,Graduate,Single,Salaried,93181.0,1918013.0,72.0,330.0,739322.0,Rejected,2022-01-19,35532.79768981895
APP100004,Male,80.0,Graduate,Single,Salaried,85737.0,2214169.0,24.0,619.0,233673.0,Approved,2019-12-02,102172.66540381288
APP100005,Female,43.0,Not Graduate,Married,Salaried,155492.0,767062.0,12.0,692.0,3076.0,Approved,2022-07-22,67436.93629042583
APP100006,Female,77.0,Not Graduate,Single,Self-Employed,18215.0,2054331.0,12.0,393.0,866141.0,Rejected,2020-11-14,180608.3325291134
APP100007,Female,22.0,Not Graduate,Married,Self-Employed,155651.0,581682.0,36.0,768.0,522315.0,Approved,2024-08-24,18769.24198128584
APP100008,Female,53.0,Graduate,Married,Salaried,47801.0,2716157.0,12.0,781.0,688344.0,Rejected,2020-12-11,238793.3525110019
APP100009,Male,55.0,Graduate,Married,Self-Employed,91237.0,1977184.0,72.0,469.0,92006.0,Approved,2022-08-15,36628.99003684907
APP100010,Male,79.0,Graduate,Married,Self-Employed,176528.0,1218092.0,72.0,531.0,737739.0,Approved,2019-03-11,22566.174787963868
APP100011,Female,42.0,Graduate,Married,Self-Employed,70908.0,1461486.0,24.0,629.0,935031.0,Approved,2021-09-19,67440.16381331184
APP100012,Female,29.0,Not Graduate,Married,Self-Employed,147708.0,2896193.0,48.0,504.0,794216.0,Rejected,2021-06-26,73454.93660563097
APP100013,Male,39.0,Graduate,Married,Self-Employed,9372.0,2434214.0,48.0,653.0,880951.0,Rejected,2019-01-06,61737.955673029865
APP100014,Female,26.0,Not Graduate,Married,Self-Employed,103076.0,1628209.0,12.0,381.0,694456.0,Rejected,2021-09-04,143145.43883088714
APP100015,Male,46.0,Not Graduate,Married,Salaried,133595.0,2875184.0,72.0,628.0,723499.0,Approved,2018-03-18,53265.192359491
APP_MISSING_1,Female,61.0,Graduate,Married,Self-Employed,56706.0,1833134.0,36.0,678.0,931303.0,Approved,2021-06-08,59150.07792938827
APP100017,Female,44.0,Not Graduate,Married,Self-Employed,53588.0,2200925.0,24.0,557.0,603804.0,Approved,2021-08-26,101561.52199939881
APP100018,Female,72.0,Graduate,Married,Self-Employed,179804.0,1178632.0,24.0,757.0,138593.0,Approved,2024-10-04,54387.88681903991
APP100019,Male,22.0,Not Graduate,Married,Self-Employed,166396.0,1117986.0,24.0,368.0,511963.0,Rejected,2022-11-24,51589.38161637487
APP100020,Male,69.0,Graduate,Married,Salaried,86095.0,2235467.0,36.0,763.0,255131.0,Rejected,2018-08-22,72132.23215464654
APP100021,Male,30.0,Not Graduate,Single,Self-Employed,115818.0,2601477.0,36.0,532.0,805109.0,Rejected,2019-05-07,83942.34533946302
APP100022,Male,59.0,Not Graduate,Single,Self-Employed,183255.0,835384.0,12.0,323.0,93676.0,Rejected,2019-12-23,73443.52553775455
APP100023,Male,32.0,Graduate,Married,Self-Employed,57119.0,1908145.0,36.0,605.0,979849.0,Rejected,2019-07-27,61570.47190798523
APP100024,Female,53.0,Graduate,Single,Salaried,60766.0,1568772.0,48.0,757.0,403521.0,Rejected,2024-10-27,39788.11074009533
APP100025,Male,67.0,Not Graduate,Single,Self-Employed,105505.0,2755551.0,24.0,400.0,170630.0,Rejected,2023-07-09,127154.6979142703
APP100026,Male,19.0,Graduate,Single,Self-Employed,147604.0,2406020.0,24.0,600.0,655712.0,Approved,2020-06-21,111025.6156665918
APP100027,Male,30.0,Not Graduate,Married,Salaried,64332.0,831049.0,24.0,848.0,676199.0,Rejected,2024-12-28,38348.69488786686
APP100028,Male,85.0,Graduate,Married,Salaried,171608.0,2250949.0,36.0,537.0,484602.0,Rejected,2021-06-26,72631.79274678153
APP100029,Female,64.0,Graduate,Married,Self-Employed,164786.0,511291.0,72.0,447.0,306578.0,Approved,2020-02-26,9472.094122211487
APP100030,Female,67.0,Not Graduate,Single,Salaried,16453.0,1337668.0,60.0,696.0,611125.0,Approved,2024-04-01,28421.491804832884
APP100031,Female,29.0,Graduate,Single,Self-Employed,29205.0,1183767.0,72.0,769.0,871969.0,Approved,2024-04-28,21930.275406310546
APP100032,Male,30.0,Graduate,Single,Salaried,78222.0,1835614.0,72.0,521.0,898842.0,Approved,2021-04-21,34006.287182933236
APP100033,Male,26.0,Not Graduate,Married,Self-Employed,192798.0,1630810.0,36.0,408.0,696355.0,Approved,2018-06-13,52621.65154758228
APP100034,Female,76.0,Graduate,Single,Self-Employed,61682.0,2871722.0,72.0,367.0,161847.0,Rejected,2023-07-06,53201.05590911128
APP100035,Female,62.0,Graduate,Married,Salaried,63370.0,216200.0,12.0,794.0,452275.0,Approved,2023-06-20,19007.414819128135
APP100036,Female,87.0,Graduate,Married,Self-Employed,103076.0,565137.0,36.0,484.0,445442.0,Approved,2020-07-18,18235.381369163795
APP100037,Female,60.0,Not Graduate,Married,Salaried,103076.0,2685954.0,48.0,655.0,408132.0,Approved,2024-12-02,68122.73242689316
APP100038,Male,53.0,Graduate,Married,Self-Employed,68625.0,75300.0,48.0,633.0,553735.0,Rejected,2018-11-13,1909.8025326364689
APP100039,Male,40.0,Graduate,Married,Self-Employed,55778.0,417953.0,24.0,517.0,255896.0,Rejected,2018-08-01,19286.410397544092
APP100040,Male,62.0,Graduate,Single,Self-Employed,123816.0,1692685.0,72.0,498.0,622904.0,Approved,2021-04-18,31358.40771548013
APP100041,Female,40.0,Not Graduate,Single,Self-Employed,117611.0,2194263.0,48.0,374.0,544309.0,Approved,2024-09-17,55652.17841527884
APP100042,Male,51.0,Graduate,Single,Salaried,124749.0,372707.0,60.0,302.0,702893.0,Approved,2021-04-25,7918.922293202685
APP100043,Female,33.0,Not Graduate,Single,Salaried,157996.0,1584582.0,12.0,637.0,35079.0,Rejected,2022-04-28,139309.9324187035
APP100044,Male,80.0,Graduate,Married,Self-Employed,133651.0,1874968.0,12.0,693.0,654333.0,Approved,2022-06-21,164839.47524787716
APP100045,Male,68.0,Graduate,Single,Self-Employed,14969.0,2191469.0,72.0,675.0,538829.0,Rejected,2020-01-10,40598.79918463005
APP100046,Female,49.0,Graduate,Married,Self-Employed,162026.0,2162953.0,24.0,351.0,734037.0,Approved,2024-03-19,99809.30685651064
APP100047,Male,55.0,Not Graduate,Single,Self-Employed,8182.0,650882.0,24.0,845.0,13977.0,Rejected,2019-02-06,30034.901944415506
APP100048,Male,73.0,Not Graduate,Married,Salaried,103076.0,2846325.0,12.0,448.0,661902.0,Rejected,2024-04-06,250237.18771995784
APP100049,Male,86.0,Graduate,Single,Self-Employed,103076.0,2440266.0,72.0,443.0,552546.0,Approved,2022-01-27,45207.972045728435
APP100050,Female,34.0,Not Graduate,Single,Self-Employed,103449.0,2808870.0,24.0,583.0,154734.0,Rejected,2018-11-27,129615.09924166037
APP100051,Female,56.0,Graduate,Single,Self-Employed,128903.0,293207.0,36.0,840.0,642920.0,Approved,2021-06-18,9460.965155543538
APP100052,Male,58.0,Graduate,Married,Self-Employed,129578.0,2158535.0,60.0,464.0,123951.0,Rejected,2024-08-10,45862.48965583759
